t,e_abs,e_rel,order
37.65,0.005227146923962021,0.0014286921380097608,2
37.66,0.005230332206055205,0.0014290721170951213,2
37.67,0.00523351906013994,0.0014294520929842263,2
37.68,0.005236707486952326,0.0014298320656682087,2
37.69,0.005239897487228363,0.0014302120351384186,2
37.7,0.005243089061626304,0.0014305920013652326,2
37.71,0.005246282210908446,0.0014309719643476838,2
37.72,0.005249476935759156,0.0014313519240637897,2
37.73,0.0052526732368639445,0.001431731880492149,2
37.74,0.005255871114960389,0.001432111833625813,2
37.75,0.005259070570785784,0.0014324917834580065,2
37.76,0.005262271605025076,0.001432871729967953,2
37.77,0.005265474218364783,0.0014332516731355707,2
37.78,0.005268678411543718,0.001433631612955286,2
37.79,0.005271884185298301,0.0014340115494211219,2
37.8,0.005275091540316856,0.0014343914825142828,2
37.81,0.005278300477285342,0.0014347714122156035,2
37.82,0.00528151099694418,0.0014351513385209957,2
37.83,0.005284723100031195,0.0014355312614259222,2
37.84,0.005287936787209517,0.0014359111809058222,2
37.85,0.005291152059244572,0.001436291096964191,2
37.86,0.005294368916821993,0.001436671009583122,2
37.87,0.005297587360633175,0.0014370509187465546,2
37.88,0.005300807391417931,0.001437430824451835,2
37.89,0.005304029009917859,0.0014378107266970603,2
37.9,0.005307252216821095,0.001438190625466097,2
37.91,0.0053104770128428866,0.0014385705207504444,2
37.92,0.005313703398646875,0.0014389504125278986,2
37.93,0.00531693137505384,0.001439330300819089,2
37.94,0.005320160942727482,0.0014397101856023712,2
37.95,0.0053233921023563115,0.00144009006686311,2
37.96,0.005326624854709835,0.0014404699446088594,2
37.97,0.005329859200455095,0.0014408498188197287,2
37.98,0.005333095140358487,0.0014412296895029736,2
37.99,0.005336332675085005,0.0014416095566387145,2
38.0,0.005339571805406828,0.0014419894202363154,2
38.01,0.0053428125319884695,0.00144236928027633,2
38.02,0.005346054855571785,0.001442749136760484,2
38.03,0.005349298776903834,0.0014431289896921764,2
38.04,0.005352544296675929,0.0014435088390600372,2
38.05,0.005355791415606794,0.0014438886848603784,2
38.06,0.005359040134363749,0.0014442685270759338,2
38.07,0.00536229045376944,0.001444648365731583,2
38.08,0.005365542374491645,0.0014450282008107377,2
38.09,0.005368795897222646,0.0014454080323037034,2
38.1,0.005372051022737262,0.0014457878602232887,2
38.11,0.005375307751701524,0.0014461676845532914,2
38.12,0.005378566084888748,0.0014465475053066625,2
38.13,0.00538182602296538,0.001446927322467878,2
38.14,0.005385087566705923,0.0014473071360507558,2
38.15,0.00538835071677996,0.0014476869460411813,2
38.16,0.005391615473959984,0.0014480667524529765,2
38.17,0.00539488183891559,0.0014484465552725963,2
38.18,0.005398149812421148,0.0014488263545149127,2
38.19,0.005401419395171776,0.0014492061501737898,2
38.2,0.005404690587837869,0.001449585942236749,2
38.21,0.0054079633912457546,0.0014499657307334155,2
38.22,0.005411237806068354,0.001450345515652533,2
38.23,0.005414513833025047,0.0014507252969955895,2
38.24,0.005417791472815434,0.0014511050747590482,2
38.25,0.0054210707261871565,0.00145148484895252,2
38.26,0.005424351593891973,0.0014518646195869817,2
38.27,0.005427634076601758,0.001452244386652299,2
38.28,0.005430918175090117,0.0014526241501658398,2
38.29,0.005434203890058536,0.0014530039101259406,2
38.3,0.005437491222203222,0.0014533836665298074,2
38.31,0.00544078017227576,0.0014537634193897224,2
38.32,0.005444070741027688,0.0014541431687182178,2
38.33,0.005447362929157863,0.001454522914514015,2
38.34,0.005450656737339562,0.0014549026567692866,2
38.35,0.005453952166403167,0.001455282395518412,2
38.36,0.005457249217022766,0.0014556621307543081,2
38.37,0.005460547889924924,0.0014560418624841687,2
38.38,0.005463848185808005,0.001456421590707934,2
38.39,0.00546715010542695,0.0014568013154408958,2
38.4,0.005470453649534143,0.001457181036697914,2
38.41,0.0054737588188300615,0.0014575607544802794,2
38.42,0.005477065614016728,0.0014579404687899648,2
38.43,0.0054803740358746154,0.0014583201796500862,2
38.44,0.005483684085077439,0.0014586998870555982,2
38.45,0.005486995762380546,0.0014590795910234418,2
38.46,0.005490309068539129,0.0014594592915707601,2
38.47,0.005493624004254441,0.001459838988700609,2
38.48,0.005496940570230294,0.0014602186824169844,2
38.49,0.005500258767220698,0.0014605983727374746,2
38.5,0.005503578595983365,0.0014609780596808932,2
38.51,0.00550690005721894,0.0014613577432511452,2
38.52,0.005510223151632205,0.0014617374234534935,2
38.53,0.00551354787997942,0.0014621171003071068,2
38.54,0.005516874243017784,0.0014624967738316376,2
38.55,0.005520202241451201,0.0014628764440328486,2
38.56,0.005523531875981867,0.0014632561109163005,2
38.57,0.005526863147396892,0.0014636357745102927,2
38.58,0.00553019605637265,0.0014640154348140265,2
38.59,0.005533530603667327,0.001464395091848611,2
38.6,0.005536866790039197,0.0014647747456354042,2
38.61,0.005540204616195462,0.0014651543961824824,2
38.62,0.0055435440828644905,0.0014655340435037573,2
38.63,0.0055468851907284344,0.0014659136876011578,2
