t,H_x,H_z,history_x,history_z,delta_t
4.54,0.1158591541053951,-0.07942675907082467,0.027547147411582706,0.12580806913752784,0.01
4.55,0.11612883976749717,-0.07816718574125302,0.026388281862398166,0.1261010336633701,0.01
4.5600000000000005,0.11638691974264306,-0.0769047383975572,0.025226063960890777,0.1263828537582241,0.01
4.57,0.11663336104671503,-0.07563952866608849,0.02406060174132474,0.12665349353176758,0.01
4.58,0.11686813177746956,-0.0743716685269219,0.02289200359867216,0.1269129181317563,0.01
4.59,0.11709120111868845,-0.07310127030345341,0.021720378305444932,0.12716109374797657,0.01
4.6000000000000005,0.11730253934357845,-0.0718284466519623,0.02054583498825302,0.12739798761614418,0.01
4.61,0.11750211781845354,-0.07055331055113048,0.019368483120955737,0.1276235680216482,0.01
4.62,0.11768990900599756,-0.06927597529152939,0.018188432504398833,0.1278378043031787,0.01
4.63,0.11786588646854151,-0.06799655446506696,0.01700579327140428,0.1280406668563958,0.01
4.64,0.11803002487142565,-0.06671516195440153,0.01582067587407554,0.1282321271373279,0.01
4.65,0.11818229998602302,-0.06543191192232033,0.014633191045791527,0.12841215766573777,0.01
4.66,0.11832268869234151,-0.06414691880108672,0.013443449838365318,0.12858073202848708,0.01
4.67,0.11845116898279033,-0.06286029728175063,0.012251563594648296,0.12873782488264718,0.01
4.68,0.11856771996423446,-0.06157216230343383,0.011057643900724834,0.1288834119586011,0.01
4.69,0.11867232186080481,-0.06028262904257854,0.009861802625270144,0.12901747006307174,0.01
4.7,0.11876495601673989,-0.05899181290217235,0.008664151892495475,0.12913997708191305,0.01
4.71,0.11884560489865471,-0.05769982950094034,0.007464804075002718,0.1292509119830476,0.01
4.72,0.11891425209823996,-0.05640679466251145,0.00626387176755383,0.1293502548190273,0.01
4.73,0.11897088233400578,-0.055112824404559724,0.0050614677673550545,0.12943798672961426,0.01
4.74,0.11901548145358708,-0.05381803492791911,0.0038577051251822425,0.12951408994435942,0.01
4.75,0.11904803643650942,-0.05252254260567259,0.0026526970766695968,0.12957854778493427,0.01
4.76,0.11906853539512047,-0.05122646397222048,0.001446557021582251,0.12963134466737936,0.01
4.7700000000000005,0.11907696757694104,-0.049929915712324933,0.0002393985805024812,0.12967246610438066,0.01
4.78,0.11907332336673054,-0.04863301465013282,-0.0009686644718085446,0.1297018987072751,0.01
4.79,0.11905759428750488,-0.04733587773817949,-0.002177518214650398,0.12971963018804678,0.01
4.8,0.11902977300243753,-0.04603862204637194,-0.003387048560437478,0.12972564936120978,0.01
4.8100000000000005,0.11898985331629612,-0.04474136475095522,-0.004597141292578932,0.12971994614559357,0.01
4.82,0.11893783017658596,-0.04344422312346002,-0.005807682058075692,0.1297025115660455,0.01
4.83,0.11887369967513461,-0.04214731451963437,-0.007018556401193088,0.12967333775488665,0.01
4.84,0.11879745904856209,-0.04085075636836234,-0.008229649757068636,0.12963241795348734,0.01
4.8500000000000005,0.11870910667999322,-0.03955466616056455,-0.009440847451894108,0.12957974651361037,0.01
4.86,0.11860864209952422,-0.038259161438090085,-0.010652034744939698,0.12951531889860468,0.01
4.87,0.11849606598509445,-0.036964359782592514,-0.011863096817656071,0.1294391316846062,0.01
4.88,0.11837138016317111,-0.035670378804398016,-0.01307391878537345,0.12935118256159428,0.01
4.89,0.11823458760938697,-0.03437733613136068,-0.014284385694001145,0.12925147033440232,0.01
4.9,0.11808569244929107,-0.03308534939770991,-0.0154943825738032,0.1291399949234242,0.01
4.91,0.11792469995791094,-0.03179453623289214,-0.016703794422610052,0.12901675736543194,0.01
4.92,0.11775161656083888,-0.03050501425040132,-0.017912506201942513,0.12888175981418182,0.01
4.93,0.11756644983387209,-0.02921690103660856,-0.01912040287550898,0.12873500554097284,0.01
4.94,0.11736920850332867,-0.0279303141395818,-0.02032736940476365,0.12857649893508594,0.01
4.95,0.11715990244577683,-0.026645371057906788,-0.021533290771188263,0.1284062455040158,0.01
4.96,0.1169385426879049,-0.025362189229501536,-0.02273805197290102,0.12822425187375708,0.01
4.97,0.11670514140631882,-0.0240808860204317,-0.023941538036027055,0.12803052578890606,0.01
4.98,0.11645971192718432,-0.02280157871372335,-0.02514363404481479,0.1278250761126427,0.01
4.99,0.11620226872542253,-0.02152438449817879,-0.02634422513089074,0.12760791282665895,0.01
5.0,0.11593282742456652,-0.020249420457190224,-0.027543196491836675,0.12737904703090064,0.01
5.01,0.11565140479558582,-0.01897680355756083,-0.028740433411948096,0.1271384909433042,0.01
5.0200000000000005,0.11535801875632752,-0.01770665063832408,-0.029935821252808914,0.12688625789939212,0.01
5.03,0.11505268837052965,-0.016439078399572933,-0.031129245482195422,0.12662236235164237,0.01
5.04,0.11473543384668364,-0.015174203391291283,-0.03232059168248469,0.1263468198689629,0.01
5.05,0.11440627653687997,-0.01391214200219373,-0.033509745537797286,0.12605964713597373,0.01
5.0600000000000005,0.11406523893592767,-0.01265301044857175,-0.034696592880928634,0.12576086195205705,0.01
5.07,0.1137123446792614,-0.011396924763152532,-0.03588101969916124,0.12545048323048624,0.01
5.08,0.11334761854194444,-0.01014400078396208,-0.03706291209594248,0.12512853099742666,0.01
5.09,0.11297108643734258,-0.008894354143204051,-0.0382421563635198,0.12479502639057938,0.01
5.1000000000000005,0.112582775414674,-0.007648100256150432,-0.03941863898007991,0.12444999165814735,0.01
5.11,0.11218271365774098,-0.006405354310041048,-0.04059224658417637,0.12409345015738499,0.01
5.12,0.11177093048299049,-0.005166231253002786,-0.041762866019652733,0.12372542635306646,0.01
5.13,0.11134745633734794,-0.003930845782979772,-0.04293038436393992,0.12334594581589797,0.01
5.14,0.11091232279571171,-0.0026993123366848785,-0.044094688863889786,0.12295503522100282,0.01
5.15,0.1104655625600701,-0.0014717450785596583,-0.04525566700912531,0.12255272234598541,0.01
5.16,0.11000720945552922,-0.0002482578897651136,-0.046413206591591205,0.12213903606893439,0.01
5.17,0.10953729842823831,0.0009710356428189776,-0.047567195579023114,0.1217140063666908,0.01
5.18,0.10905586554394879,0.0021860222375686507,-0.048717522203368446,0.12127766431254157,0.01
5.19,0.1085629479841709,0.0033965889290698643,-0.049864075020471965,0.1208300420740932,0.01
5.2,0.10805858404353935,0.004602623079050572,-0.05100674280992745,0.12037117291103627,0.01
5.21,0.10754281312797238,0.005804012387290539,-0.052145414680027535,0.11990109117249068,0.01
5.22,0.10701567574993882,0.007000644902500334,-0.05327998005282364,0.1194198322946845,0.01
